"start.day","duration","year","blob.end"
"259",96,1983,259
"265",100,1984,265
"286",77,1985,286
"260",90,1986,260
"267",99,1987,267
"282",85,1988,282
"281",85,1989,281
"286",74,1990,286
"283",80,1991,283
"279",88,1992,279
"271",95,1993,271
"254",102,1994,254
"296",70,1995,296
"248",113,1996,248
"278",88,1997,278
"273",93,1998,273
"297",68,1999,297
"268",93,2000,268
"281",85,2001,281
"293",73,2002,293
"284",82,2003,284
"285",82,2004,285
"295",71,2005,295
"288",78,2006,288
"273",93,2007,273
"294",64,2008,294
"280",45,2009,280
"285",81,2010,285
"295",64,2011,295
"303",56,2012,303
"299",60,2013,299
"300",65,2014,300
"298",66,2015,298
"299",66,2016,299
"299",62,2017,299
"291",75,2018,291
"303",63,2019,303
"306",61,2020,306
"300",55,2021,300
"269",50,2022,269
"270",96,2023,270
